race_id,competition,extracted_frames,total_frames,success_rate,fps,frame_width,frame_height,start_frame,finish_frame,athlete_lane_inferred,athlete_mean_x,file_path
Speed_finals_Chamonix_2024_race029,chamonix_2024,192,192,100.0,30.0,1280,720,45,236,left,0.329,data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race029_pose.json
Speed_finals_Chamonix_2024_race030,chamonix_2024,153,154,99.35064935064936,30.0,1280,720,45,198,left,0.287,data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race030_pose.json
Speed_finals_Chamonix_2024_race031,chamonix_2024,185,186,99.46236559139786,30.0,1280,720,45,230,center,0.507,data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race031_pose.json
Speed_finals_Chamonix_2024_race032,chamonix_2024,179,180,99.44444444444444,30.0,1280,720,45,224,right,0.755,data/processed/poses/single_athlete/poses_chamonix_2024/Speed_finals_Chamonix_2024_race032_pose.json
Speed_finals_Innsbruck_2024_race002,innsbruck_2024,270,271,99.63099630996311,30.0,1280,720,90,360,left,0.323,data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race002_pose.json
Speed_finals_Innsbruck_2024_race003,innsbruck_2024,168,168,100.0,30.0,1280,720,45,212,left,0.303,data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race003_pose.json
Speed_finals_Innsbruck_2024_race005,innsbruck_2024,335,338,99.11242603550295,30.0,1280,720,45,382,left,0.389,data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race005_pose.json
Speed_finals_Innsbruck_2024_race006,innsbruck_2024,239,241,99.1701244813278,30.0,1280,720,90,330,left,0.285,data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race006_pose.json
Speed_finals_Innsbruck_2024_race007,innsbruck_2024,299,301,99.33554817275747,30.0,1280,720,45,345,center,0.498,data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race007_pose.json
Speed_finals_Innsbruck_2024_race008,innsbruck_2024,210,211,99.52606635071089,30.0,1280,720,90,300,left,0.314,data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race008_pose.json
Speed_finals_Innsbruck_2024_race009,innsbruck_2024,170,181,93.92265193370166,30.0,1280,720,90,270,left,0.315,data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race009_pose.json
Speed_finals_Innsbruck_2024_race010,innsbruck_2024,226,226,100.0,30.0,1280,720,90,315,left,0.352,data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race010_pose.json
Speed_finals_Innsbruck_2024_race012,innsbruck_2024,359,361,99.44598337950139,30.0,1280,720,90,450,center,0.463,data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race012_pose.json
Speed_finals_Innsbruck_2024_race013,innsbruck_2024,361,361,100.0,30.0,1280,720,45,405,left,0.348,data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race013_pose.json
Speed_finals_Innsbruck_2024_race014,innsbruck_2024,270,271,99.63099630996311,30.0,1280,720,90,360,left,0.338,data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race014_pose.json
Speed_finals_Innsbruck_2024_race015,innsbruck_2024,418,421,99.2874109263658,30.0,1280,720,90,510,center,0.475,data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race015_pose.json
Speed_finals_Innsbruck_2024_race016,innsbruck_2024,390,391,99.74424552429667,30.0,1280,720,90,480,center,0.532,data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race016_pose.json
Speed_finals_Innsbruck_2024_race017,innsbruck_2024,247,301,82.05980066445183,30.0,1280,720,90,390,left,0.345,data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race017_pose.json
Speed_finals_Innsbruck_2024_race018,innsbruck_2024,419,421,99.5249406175772,30.0,1280,720,45,465,left,0.266,data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race018_pose.json
Speed_finals_Innsbruck_2024_race019,innsbruck_2024,269,271,99.2619926199262,30.0,1280,720,45,315,right,0.774,data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race019_pose.json
Speed_finals_Innsbruck_2024_race020,innsbruck_2024,315,361,87.25761772853186,30.0,1280,720,90,450,left,0.354,data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race020_pose.json
Speed_finals_Innsbruck_2024_race021,innsbruck_2024,210,211,99.52606635071089,30.0,1280,720,90,300,left,0.342,data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race021_pose.json
Speed_finals_Innsbruck_2024_race022,innsbruck_2024,386,391,98.72122762148338,30.0,1280,720,45,435,center,0.494,data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race022_pose.json
Speed_finals_Innsbruck_2024_race023,innsbruck_2024,178,259,68.72586872586872,30.0,1280,720,90,348,right,0.749,data/processed/poses/single_athlete/poses_innsbruck_2024/Speed_finals_Innsbruck_2024_race023_pose.json
