fold,epoch,train_loss,val_loss
0,1,0.6739614740223951,0.7043531272146437
0,2,0.5983847514004774,0.6866484880447388
0,3,0.5249913515339435,0.7484646240870158
0,4,0.43255024518765195,0.7255912489361234
0,5,0.4216483684492783,0.6561597122086419
0,6,0.30995298565273555,0.6813953452640109
0,7,0.22673054333304016,0.9763286908467611
0,8,0.19841635143253164,1.0887880325317383
0,9,0.16090348793167464,0.6981845696767172
0,10,0.12580065009459643,0.7389519479539659
0,11,0.10288957611355982,1.5179349051581488
1,1,0.688835256536242,0.7615021400981479
1,2,0.6076654926152296,0.7738150027063158
1,3,0.53600326977985,0.6423260238435533
1,4,0.49574270886434635,0.5749469333224826
1,5,0.38426709846711493,0.48911356925964355
1,6,0.36123870627980836,1.278103854921129
1,7,0.29496071288283443,0.7273024999433093
1,8,0.22356982864964176,0.7327368789248996
1,9,0.2020855684515456,0.7683108713891771
1,10,0.20658714145841733,1.836454709370931
1,11,0.16450320876819988,1.0404581626256306
2,1,0.6664767993821038,0.6957743661744255
2,2,0.6542621784740024,0.6903743488448006
2,3,0.5866894788212247,0.6542873297418866
2,4,0.4806307686699761,0.7004927924701145
2,5,0.43868329458766514,0.7448990157672337
2,6,0.3860786689652337,1.0269978418946266
2,7,0.33693022032578784,0.9122017094067165
2,8,0.2539966619677014,1.3338403943926096
2,9,0.22483312669727537,0.9631127987589155
