model,method,feature,score,score_std
xgb_scale_pos_weight,permutation,freq_movement_regularity,0.0,0.0
rf_smote,native,post_avg_knee_angle,0.004617838170106792,0.0
rf_smote,native,post_knee_angle_std,0.0030803758126004485,0.0
rf_smote,native,post_avg_elbow_angle,0.005352076503845613,0.0
rf_smote,native,post_elbow_angle_std,0.010574446231126512,0.0
rf_smote,native,post_avg_body_lean,0.22439734713543216,0.0
rf_smote,native,post_body_lean_std,0.3215897669797726,0.0
rf_smote,native,post_hip_width_ratio,0.009247050671915278,0.0
rf_smote,native,post_avg_reach_ratio,0.027019408752599977,0.0
rf_smote,native,post_max_reach_ratio,0.1399176179148365,0.0
rf_smote,native,freq_limb_sync_ratio,0.041032699981251086,0.0
rf_smote,native,freq_hand_movement_amplitude,0.048732781141906746,0.0
rf_smote,native,freq_foot_movement_amplitude,0.1429799360371038,0.0
rf_smote,native,freq_foot_frequency_hz,0.0036921035545302446,0.0
rf_smote,native,freq_hand_frequency_hz,0.00499760579233372,0.0
rf_smote,native,freq_movement_regularity,0.012768945320638622,0.0
rf_smote,permutation,post_avg_knee_angle,0.0,0.0
rf_smote,permutation,post_knee_angle_std,-0.001025641025641025,0.00205128205128205
rf_smote,permutation,post_avg_elbow_angle,0.0,0.0
rf_smote,permutation,post_elbow_angle_std,0.0003591664265821637,0.02651843427664391
rf_smote,permutation,post_avg_body_lean,0.021451665768959377,0.0331779896027243
rf_smote,permutation,post_body_lean_std,0.3839584114376179,0.09654075720868499
rf_smote,permutation,post_hip_width_ratio,0.0,0.0
rf_smote,permutation,post_avg_reach_ratio,-0.0005128205128205125,0.001025641025641025
rf_smote,permutation,post_max_reach_ratio,-0.0019454082619690788,0.006136686523734313
rf_smote,permutation,freq_limb_sync_ratio,0.007378298030471948,0.014756596060943896
rf_smote,permutation,freq_hand_movement_amplitude,0.0,0.0
rf_smote,permutation,freq_foot_movement_amplitude,0.01786181779464633,0.021240608516260542
rf_smote,permutation,freq_foot_frequency_hz,0.0,0.0
rf_smote,permutation,freq_hand_frequency_hz,0.0,0.0
rf_smote,permutation,freq_movement_regularity,0.007748647523928426,0.015497295047856852
xgb_smote,native,post_avg_knee_angle,0.0025800138246268034,0.0
xgb_smote,native,post_knee_angle_std,0.0030037807300686836,0.0
xgb_smote,native,post_avg_elbow_angle,0.0,0.0
xgb_smote,native,post_elbow_angle_std,0.010173135437071323,0.0
xgb_smote,native,post_avg_body_lean,0.1451195478439331,0.0
xgb_smote,native,post_body_lean_std,0.6015272736549377,0.0
xgb_smote,native,post_hip_width_ratio,0.04407171532511711,0.0
xgb_smote,native,post_avg_reach_ratio,0.0015285513363778591,0.0
xgb_smote,native,post_max_reach_ratio,0.01972174644470215,0.0
xgb_smote,native,freq_limb_sync_ratio,0.09392058104276657,0.0
xgb_smote,native,freq_hand_movement_amplitude,0.006847096607089043,0.0
xgb_smote,native,freq_foot_movement_amplitude,0.06191147118806839,0.0
xgb_smote,native,freq_foot_frequency_hz,0.0029700957238674164,0.0
xgb_smote,native,freq_hand_frequency_hz,0.0013301294529810548,0.0
xgb_smote,native,freq_movement_regularity,0.005294869653880596,0.0
xgb_smote,permutation,post_avg_knee_angle,0.0,0.0
xgb_smote,permutation,post_knee_angle_std,0.0,0.0
xgb_smote,permutation,post_avg_elbow_angle,0.0,0.0
xgb_smote,permutation,post_elbow_angle_std,0.0,0.0
xgb_smote,permutation,post_avg_body_lean,0.0,0.0
