video_id,lane,detection_confidence,eff_acceleration_variance,eff_com_stability_index,eff_lateral_movement_ratio,eff_movement_smoothness,eff_path_straightness,eff_vertical_progress_rate,extraction_quality,freq_foot_frequency_hz,freq_foot_movement_amplitude,freq_hand_frequency_hz,freq_hand_movement_amplitude,freq_limb_sync_ratio,freq_movement_regularity,post_avg_body_lean,post_avg_elbow_angle,post_avg_knee_angle,post_avg_reach_ratio,post_body_lean_std,post_elbow_angle_std,post_hip_width_ratio,post_knee_angle_std,post_max_reach_ratio,skill_score,cluster_kmeans,cluster_gmm,cluster_dbscan,cluster_hierarchical,cluster_kmeans_rank,cluster_kmeans_label,cluster_gmm_rank,cluster_gmm_label,cluster_hierarchical_rank,cluster_hierarchical_label
Speed_finals_Chamonix_2024_race001_poses,left,0.993006993006993,0.0838710813194488,0.000319144480038,1.2098870226912106,0.0503955375383839,0.1511865492237711,0.0001794320177024,0.9092118298368298,0.6338028169014085,0.037419704805069,1.4634146341463417,0.0490275160315868,0.4005510100363575,0.3469786219308509,-0.1496528635468629,129.94841808072206,118.42503797017628,0.7273465675836013,7.193957473345371,58.36543010679881,0.6410062558834774,62.92200067409191,1.9002813421075464,-0.2849270461506226,1,1,0,0,1,advanced,1,level_2,1,advanced
Speed_finals_Chamonix_2024_race001_poses,right,0.9370629370629372,0.067254947511241,0.000377731729331,0.762792279761235,0.0577892347878058,0.19511199143372,0.000280759450215,0.8955314685314686,0.6716417910447762,0.048409221208233,1.5254237288135593,0.0325558688885474,0.4018555752423981,0.3139397391587613,-3.398399336162731,123.5448485416055,133.93045889182045,0.6501755149109272,2.646806454145405,57.96817977047958,0.6118250438589747,55.73307228722298,1.184043117603908,-0.26400386988040186,1,1,0,0,1,advanced,1,level_2,1,advanced
Speed_finals_Chamonix_2024_race002_poses,left,0.9935897435897436,0.1055941512452405,0.0002167398926906,0.1955739290459339,0.0555187129929583,0.2180451987844296,0.0011977944404456,0.94497766449957,0.5732484076433121,0.0399966794268704,0.6293706293706294,0.0679437127483505,0.7103053650431777,0.5314864653028315,-2.317252789172794,115.00618680025497,111.9780980198472,0.6221258981043883,3.65474660950929,59.8032220481493,0.6062005649529097,64.04705538681034,1.1497465398806244,0.14859546617511432,1,1,0,0,1,advanced,1,level_2,1,advanced
Speed_finals_Chamonix_2024_race002_poses,right,1.0,0.1055201850043859,0.0002298507053642,0.189664008918741,0.0522393269139785,0.2182983898800824,0.0010435808089471,0.938341275400816,0.5806451612903225,0.0447939048015572,0.5217391304347826,0.0551256067797597,0.8003204816107633,0.5205032152383804,-5.308391349379545,95.15760874659172,134.12702386229037,0.5440308081835625,3.526377237205708,60.2961743936671,0.5957215426473235,54.95275882887273,1.1962801502499552,0.2885147792828883,1,1,0,0,1,advanced,1,level_2,1,advanced
Speed_finals_Chamonix_2024_race003_poses,left,1.0,0.0933410404296208,0.0002925747383524,0.2763477830353785,0.0550861235057085,0.29236056029275,0.0010080311346698,0.9385746084746962,0.6081081081081081,0.023745893249462,1.4634146341463417,0.0539019832710161,0.417792680758813,0.3906546955865219,-0.6605270620694637,106.4637980680954,125.36236108420536,0.5585811439797477,4.108077118945968,61.1763336411757,0.6068628964232843,59.83664334508365,1.2717143463532614,-0.41156585289866604,1,1,0,0,1,advanced,1,level_2,1,advanced
Speed_finals_Chamonix_2024_race003_poses,right,1.0,0.1334403733046806,0.0003177958502444,4.606866504384287,0.0510254358181631,0.2355279865763264,7.054120480657338e-05,0.9524852695314382,0.718562874251497,0.0345604845417492,0.6716417910447762,0.0615836160643901,0.5668879419861229,0.4638062243475657,-2.8795952067561856,124.24676938278328,130.36419635038817,0.6045248430307465,3.393856922929741,56.29367777379896,0.6118621059118899,58.37534604490283,1.1758426518283722,0.05172764499022186,1,1,0,0,1,advanced,1,level_2,1,advanced
Speed_finals_Chamonix_2024_race004_poses,left,0.9828767123287672,0.0650232936314293,0.0002340490330116,0.7736717896729317,0.0598686651844443,0.0922643622197404,-0.0003194006388647,0.8941139112574078,0.5263157894736842,0.0511349772229962,0.9574468085106383,0.1008284719654326,0.7726533927649301,0.5121528869530693,-4.074319912019187,100.53666011315794,148.11761585913163,0.5377509646158175,12.409655379500991,53.85837274169509,0.5794786928310575,39.24981915699056,1.0334391583975149,0.6256852418955952,1,2,0,0,1,advanced,2,level_3,1,advanced
Speed_finals_Chamonix_2024_race004_poses,right,1.0,0.0981455331571577,0.0003081357661126,38.78709662910613,0.0506218118023243,0.2580257997592134,-8.604544050553267e-06,0.9437173161383464,0.6617647058823529,0.0295098456800866,0.9917355371900828,0.0608755661282384,0.3192086220096579,0.4217403800163406,-3.4061943113595627,123.91702026317556,120.61279199805014,0.6325649782966468,3.6704412290915793,55.6399871442578,0.6060194151420848,61.74513895989917,1.156875677852993,-0.2869291943283441,1,1,0,0,1,advanced,1,level_2,1,advanced
Speed_finals_Chamonix_2024_race005_poses,left,0.98932384341637,0.0229022378494047,0.000209183609837,0.4697266953682548,0.0475195826338759,0.2188219983217517,0.0007370340310974,0.9422095206121952,1.7880794701986755,0.0626852972285554,0.6976744186046512,0.0682016845673485,0.3813532130647912,0.4090973499721807,11.35890630735358,114.3241450086612,131.25750925837193,0.5186950650504437,41.48444152605027,56.31256584496674,0.5818854689071324,54.2694193761451,0.9994543392496242,-0.5142909503698493,1,2,-1,0,1,advanced,2,level_3,1,advanced
Speed_finals_Chamonix_2024_race005_poses,right,0.9750889679715302,0.0914853054313718,0.0002978978027114,10.32444789931253,0.0519612426164781,0.2325372154974588,3.184125437374004e-05,0.9384386718441,1.2280701754385963,0.0450134605803142,1.381578947368421,0.0652405685406446,0.7855578930616269,0.4510673037463621,-2.092415520437827,102.45844769536797,114.12294614603928,0.5276631709511248,4.082162893516238,59.92803412258205,0.5965411513762716,64.95825576856299,1.2466188662608924,-0.06825533951398315,1,1,-1,0,1,advanced,1,level_2,1,advanced
