model,source_phase,n_samples,support_advanced,support_beginner,accuracy,balanced_accuracy,f1_macro,f1_beginner,precision_beginner,recall_beginner,precision_advanced,recall_advanced,roc_auc,pr_auc,tn,fp,fn,tp
dummy_majority,phase2_feature_engineered,107,101,6,0.9439252336448598,0.5,0.4855769230769231,0.0,0.0,0.0,0.9439252336448598,1.0,0.5,0.056074766355140186,101,0,6,0
logreg_balanced,phase2_feature_engineered,107,101,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,101,0,0,6
rf_balanced,phase2_feature_engineered,107,101,6,0.9906542056074766,0.9166666666666667,0.9520824003582624,0.9090909090909091,1.0,0.8333333333333334,0.9901960784313726,1.0,1.0,1.0,101,0,1,5
xgb_scale_pos_weight,phase2_feature_engineered,107,101,6,0.9906542056074766,0.9166666666666667,0.9520824003582624,0.9090909090909091,1.0,0.8333333333333334,0.9901960784313726,1.0,0.9983498349834984,0.9761904761904762,101,0,1,5
rf_smote,phase2_feature_engineered,107,101,6,0.9906542056074766,0.9166666666666667,0.9520824003582624,0.9090909090909091,1.0,0.8333333333333334,0.9901960784313726,1.0,1.0,1.0,101,0,1,5
xgb_smote,phase2_feature_engineered,107,101,6,0.9906542056074766,0.9166666666666667,0.9520824003582624,0.9090909090909091,1.0,0.8333333333333334,0.9901960784313726,1.0,1.0,1.0,101,0,1,5
cnn1d,phase3_pose_cnn,107,101,6,0.8878504672897196,0.5486798679867987,0.5414285714285715,0.14285714285714288,0.125,0.16666666666666666,0.9494949494949495,0.9306930693069307,0.528052805280528,0.08608000604837304,94,7,5,1
