iteration,metric,reference_minus_cnn
21,f1_macro,0.47285353535353536
21,f1_beginner,0.875
21,precision_beginner,0.9090909090909091
21,recall_beginner,0.8
21,roc_auc,0.4980392156862745
21,pr_auc,0.9294278309409888
22,accuracy,0.08411214953271029
22,balanced_accuracy,0.5242718446601942
22,f1_macro,0.5219512195121951
22,f1_beginner,1.0
22,precision_beginner,1.0
22,recall_beginner,1.0
22,roc_auc,0.6092233009708738
22,pr_auc,0.9523287339093635
23,accuracy,0.05607476635514019
23,balanced_accuracy,0.519047619047619
23,f1_macro,0.5144230769230769
23,f1_beginner,1.0
23,precision_beginner,1.0
23,recall_beginner,1.0
23,roc_auc,0.5761904761904761
23,pr_auc,0.9735054347826086
24,accuracy,0.10280373831775702
24,balanced_accuracy,0.4002525252525253
24,f1_macro,0.3943048576214405
24,f1_beginner,0.7333333333333334
24,precision_beginner,0.7142857142857143
24,recall_beginner,0.75
24,roc_auc,0.29166666666666663
24,pr_auc,0.8251447458724417
25,accuracy,0.13084112149532712
25,balanced_accuracy,0.47537878787878785
25,f1_macro,0.47285353535353536
25,f1_beginner,0.875
25,precision_beginner,0.8
25,recall_beginner,0.9090909090909091
25,roc_auc,0.5700757575757576
25,pr_auc,0.8839163873951194
26,accuracy,0.12149532710280375
26,balanced_accuracy,0.30339805825242716
26,f1_macro,0.4153478650343386
26,f1_beginner,0.7647058823529411
26,precision_beginner,0.8461538461538461
26,recall_beginner,0.5
26,roc_auc,0.5533980582524272
26,pr_auc,0.9242838621144916
27,accuracy,0.11214953271028039
27,balanced_accuracy,0.5432692307692308
27,f1_macro,0.5297029702970297
27,f1_beginner,1.0
27,precision_beginner,1.0
27,recall_beginner,1.0
27,roc_auc,0.4903846153846154
27,pr_auc,0.9599033816425121
28,accuracy,0.10280373831775702
28,balanced_accuracy,0.4343137254901961
28,f1_macro,0.45044010715652505
28,f1_beginner,0.8461538461538461
28,precision_beginner,0.875
28,recall_beginner,0.8
28,roc_auc,0.20588235294117652
28,pr_auc,0.8692630068715548
29,accuracy,0.10280373831775702
29,balanced_accuracy,0.38714285714285723
29,f1_macro,0.3943048576214405
29,f1_beginner,0.7333333333333334
29,precision_beginner,0.75
29,recall_beginner,0.7142857142857143
29,roc_auc,0.6457142857142857
29,pr_auc,0.9058854207985634
30,accuracy,0.10280373831775702
30,balanced_accuracy,0.5294117647058824
30,f1_macro,0.5270935960591133
30,f1_beginner,1.0
30,precision_beginner,1.0
30,recall_beginner,1.0
30,roc_auc,0.5058823529411764
30,pr_auc,0.9356652046783626
31,accuracy,0.09345794392523366
31,balanced_accuracy,0.3157142857142857
31,f1_macro,0.3377525252525253
31,f1_beginner,0.625
31,precision_beginner,0.6666666666666667
31,recall_beginner,0.5714285714285714
31,roc_auc,0.38142857142857145
31,pr_auc,0.8277914074739573
32,accuracy,0.12149532710280375
32,balanced_accuracy,0.5436893203883495
32,f1_macro,0.5323383084577114
32,f1_beginner,1.0
32,precision_beginner,1.0
32,recall_beginner,1.0
32,roc_auc,0.3106796116504854
32,pr_auc,0.9308510096379159
33,accuracy,0.10280373831775702
33,balanced_accuracy,0.5294117647058824
33,f1_macro,0.5270935960591133
33,f1_beginner,1.0
33,precision_beginner,1.0
33,recall_beginner,1.0
33,roc_auc,0.40588235294117647
33,pr_auc,0.9302678144428503
34,accuracy,0.09345794392523366
34,balanced_accuracy,0.5245098039215687
34,f1_macro,0.5245098039215687
34,f1_beginner,1.0
